town,pop
"Lindsborg, KS",3338
"Lindsey, OH",425
"Lindseyville, KY",1
"Lindside, WV",1
"Lindstrom, MN",4457
"Line Lexington, PA",1
"Lineboro, MD",1
"Linefork, KY",1
"Lineville, AL",2306
"Lineville, IA",221
"Lingle, WY",459
"Lingo, NM",1
"Linkwood, MD",1
"Linn, KS",395
"Linn, MO",1429
"Linn, TX",1
"Linn, WV",1
"Linn Creek, MO",245
"Linn Grove, IA",154
"Linn Grove, IN",1
"Linneus, MO",267
"Linthicum Height, MD",1
"Linton, IN",5248
"Linville, LA",1
"Linville, VA",1
"Linwood, KS",387
"Linwood, MD",1
"Linwood, MI",1
"Linwood, NC",1
"Linwood, NE",84
"Linwood, NJ",6892
"Linwood, NY",2
"Lipan, TX",461
"Lipscomb, TX",1
"Lisbon, IA",2208
"Lisbon, LA",171
"Lisbon, ME",1
"Lisbon, NH",1
"Lisbon, NY",1
"Lisbon, OH",2699
"Lisbon Falls, ME",1
"Lisco, NE",1
"Liscomb, IA",301
"Lisle, IL",22930
"Lisle, NY",307
"Lisman, AL",498
"Lismore, MN",231
"Listonburg, PA",1
"Litchfield, CA",1
"Litchfield, CT",1213
"Litchfield, IL",6812
"Litchfield, ME",1
"Litchfield, MI",1346
"Litchfield, MN",6648
"Litchfield, NE",255
"Litchfield, OH",1
"Litchfield Park, AZ",5766
"Litchville, ND",168
"Lithia, FL",1
"Lithia, VA",1
"Lithia Springs, GA",1
"Lithonia, GA",2082
"Littcarr, KY",1
"Little, KY",1
"Little Canada, MN",10344
"Little Cedar, IA",1
"Little Chute, WI",11250
"Little Compton, RI",1
"Little Deer Isle, ME",1
"Little Falls, MN",8689
"Little Falls, NY",4741
"Little Ferry, NJ",10925
"Little Genesee, NY",1
"Little Hocking, OH",1
"Little Indian, IL",1
"Little Lake, MI",1
"Little Marais, MN",1
"Little Marsh, PA",1
"Little Meadows, PA",258
"Little Mountain, SC",296
"Little Neck, NY",2
"Little Orleans, MD",1
"Little Plymouth, VA",1
"Little River, AL",1
"Little River, KS",536
"Little River, SC",1
"Little Rock, AR",198541
"Little Rock, IA",439
"Little Rock, MS",1
"Little Rock, SC",1
"Little Sauk, MN",1
"Little Silver, NJ",5895
"Little Sioux, IA",163
"Little Suamico, WI",1
"Little Valley, NY",1113
"Little York, IL",328
"Littlefield, AZ",1
"Littlefield, TX",6039
"Littlefork, MN",612
"Littleriver, CA",1
"Littlestown, PA",4468
"Littleton, CO",46333
"Littleton, IL",166
"Littleton, MA",1
"Littleton, NC",625
"Littleton, NH",1
"Littleton, WV",1
"Live Oak, CA",8800
"Live Oak, TX",15749
"Livermore, CA",89115
"Livermore, IA",359
"Livermore, KY",1347
"Livermore Falls, ME",1
"Liverpool, IL",123
"Liverpool, NY",2258
"Liverpool, PA",960
"Liverpool, TX",501
"Livingston, CA",13961
"Livingston, KY",224
"Livingston, LA",1937
"Livingston, MT",7401
"Livingston, NJ",1
"Livingston, TN",4062
"Livingston, WI",647
"Livingston Manor, NY",1
"Livonia, LA",1405
"Livonia, MI",94041
"Livonia, MO",73
"Livonia, NY",1363
"Lizella, GA",1
"Lizemores, WV",1
"Lizton, IN",497
"Lk Forest Park, WA",1
"Lloyd, MT",1
"Loami, IL",749
"Lobata, WV",1
"Lobelville, TN",891
"Loch Sheldrake, NY",1
"Lochbui, CO",1
"Lock Haven, PA",9549
"Lock Springs, MO",56
"Lockbourne, OH",248
"Locke, NY",1
"Lockeford, CA",1
"Lockesburg, AR",722
"Lockhart, FL",1
"Lockhart, MN",1
"Lockhart, TX",13527
"Lockland, OH",3430
"Lockney, TX",1691
"Lockney, WV",1
"Lockport, KY",1
"Lockport, LA",2504
"Lockport, NY",20480
"Lockridge, IA",292
"Lockwood, CA",1
"Lockwood, MO",908
"Lockwood, NY",1
"Loco, OK",119
"Locust, NC",3066
"Locust Dale, VA",1
"Locust Grove, AR",1
"Locust Grove, GA",5940
"Locust Grove, OK",1404
"Locust Grove, VA",1
"Locust Hill, KY",1
"Locust Hill, VA",1
"Locust Valley, NY",1
"Locustville, VA",1
"Loda, IL",397
"Lodge, SC",119
"Lodge Grass, MT",446
"Lodgepole, NE",313
"Lodgepole, SD",1
"Lodi, CA",64641
"Lodi, MO",1
"Lodi, NJ",24778
"Lodi, NY",294
"Lodi, OH",2820
"Lodi, WI",3059
"Logan, AL",1
"Logan, IA",1454
"Logan, KS",549
"Logan, NM",954
"Logan, OH",7085
"Logan, OK",1
"Logan, UT",50676
"Logansport, IN",17780
"Logansport, KY",1
"Logansport, LA",1565
"Loganton, PA",470
"Loganville, GA",11674
"Loganville, WI",309
"Logsden, OR",1
"Lohman, MO",165
"Lohn, TX",1
"Lohrville, IA",351
"Loleta, CA",1
"Lolita, TX",1
"Lolo, MT",1
"Loma, CO",1
"Loma, MT",1
"Loma, ND",15
"Loma Linda, CA",24129
"Loma Mar, CA",1
"Loman, MN",1
"Lomax, IL",414
"Lombard, IL",43815
"Lometa, TX",841
"Lompoc, CA",43712
"Lonaconing, MD",1134
"London, AR",1049
"London, MN",1
"London, OH",10158
"London, TX",1
"London Mills, IL",381
"Londonderry, NH",1
"Londonderry, OH",1
"Lone Grove, OK",5225
"Lone Jack, MO",1160
"Lone Oak, TX",638
"Lone Pine, CA",1
"Lone Rock, IA",141
"Lone Rock, WI",848
"Lone Star, SC",1
"Lone Star, TX",1532
"Lone Tree, IA",1388
"Lone Wolf, OK",415
"Lonedell, MO",1
"Lonepine, MT",1
"Lonetree, WY",1
"Long Beach, CA",470130
"Long Beach, MS",15677
"Long Beach, NY",33717
"Long Beach, WA",1389
"Long Bottom, OH",1
"Long Branch, NJ",30763
"Long Branch, TX",1
"Long Creek, OR",192
"Long Creek, SC",1
"Long Eddy, NY",1
"Long Grove, IA",853
"Long Grove, IL",8147
"Long Island, KS",127
"Long Island, ME",1
"Long Island, VA",1
"Long Lake, MI",1
"Long Lake, MN",1828
"Long Lake, NY",1
"Long Lane, MO",1
"Long Neck, DE",1
"Long Pine, NE",286
"Long Point, IL",216
"Long Pond, PA",1
"Long Valley, NJ",1
"Long Valley, SD",1
"Longbranch, WA",1
"Longdale, OK",257
"Longford, KS",75
"Longisland, NC",1
"Longlake, SD",1
"Longmeadow, MA",1
"Longmont, CO",92858
"Longport, NJ",872
"Longs, SC",1
"Longton, KS",306
"Longview, IL",152
"Longview, TX",82055
"Longview, WA",37337
"Longville, LA",1
"Longville, MN",152
"Longwood, FL",15011
"Longwood, NC",1
"Lonoke, AR",4237
"Lonsdale, AR",95
"Loogootee, IN",2708
"Lookeba, OK",165
"Lookout, WV",1
"Lookout Mountain, GA",1577
"Lookout Mountain, TN",1888
"Loomis, CA",6767
"Loomis, NE",389
"Loomis, SD",1
"Loomis, WA",1
"Loon Lake, WA",1
"Looneyville, WV",1
"Loop, TX",1
"Loose Creek, MO",1
"Lopez, PA",1
"Lopez, WA",1
"Lorain, OH",63730
"Loraine, IL",309
"Loraine, ND",9
"Loraine, TX",587
"Lorane, OR",1
"Loranger, LA",1
"Lore City, OH",318
"Loreauville, LA",893
"Lorena, TX",1744
"Lorenzo, TX",1183
"Loretta, WI",1
"Loretto, KY",709
"Loretto, MN",668
"Loretto, PA",1384
"Loretto, TN",1752
"Loretto, VA",1
"Lorida, FL",1
"Lorimor, IA",345
"Loring, MT",1
"Loring Afb, ME",1
"Loris, SC",2651
"Lorman, MS",1
"Lorraine, KS",135
"Lorraine, NY",1
"Los Alamos, NM",1
"Los Altos, CA",30561
"Los Angeles, CA",3976322
"Los Banos, CA",37643
"Los Gatos, CA",30545
"Los Lunas, NM",15454
"Los Molinos, CA",1
"Los Nietos, CA",1
"Los Osos, CA",1
"Losantville, IN",229
"Lost City, WV",1
"Lost Creek, WV",474
"Lost Hills, CA",1
"Lost Lake, CA",1
"Lost Nation, IA",420
"Lost River, WV",1
"Lost Springs, KS",67
"Lost Springs, WY",4
"Lostant, IL",480
"Lostine, OR",213
"Lothian, MD",1
"Lott, TX",734
"Lottie, LA",1
"Lottsburg, VA",1
"Lotus, CA",1
"Louann, AR",152
"Loudon, TN",5750
"Loudonville, NY",1
"Loudonville, OH",2642
"Louellen, KY",1
"Louin, MS",268
"Louisa, VA",1650
"Louisburg, KS",4382
"Louisburg, MN",44
"Louisburg, MO",121
"Louisburg, NC",3553
"Louise, MS",182
"Louise, TX",1
"Louisiana, MO",3281
"Louisville, AL",477
"Louisville, CO",20801
"Louisville, GA",2383
"Louisville, KS",209
"Louisville, KY",616261
"Louisville, MS",6324
"Louisville, NE",1224
"Louisville, OH",9356
"Louisville, TN",4127
"Loup City, NE",1000
"Lovelady, TX",621
"Loveland, CO",76897
"Loveland, OH",12732
"Loveland, OK",12
"Lovell, ME",1
"Lovell, WY",2421
"Lovelock, NV",1841
"Lovely, KY",1
"Loves Park, IL",23413
"Lovettsville, VA",1985
"Loveville, MD",1
"Lovilia, IA",510
"Loving, NM",1395
"Loving, TX",1
"Lovingston, VA",1
"Lovington, IL",1092
"Lovington, NM",11399
"Lowden, IA",773
"Lowden, WA",1
"Lowell, AR",8922
"Lowell, IN",9519
"Lowell, MA",110558
"Lowell, MI",4044
"Lowell, NC",3698
"Lowell, OH",545
"Lowell, OR",1095
"Lowell, VT",1
"Lowell, WI",322
"Lowellville, OH",1105
"Lower Brule, SD",1
"Lower Kalskag, AK",309
"Lower Lake, CA",1
"Lower Peach Tree, AL",1
"Lowesville, VA",1
"Lowgap, NC",1
"Lowland, NC",1
"Lowland, TN",1
"Lowman, ID",1
"Lowman, NY",1
"Lowndes, MO",1
"Lowndesville, SC",123
"Lowry, MN",298
"Lowry, VA",1
"Lowry City, MO",613
"Loxahatchee, FL",1
"Loxley, AL",2017
"Loyal, OK",81
"Loyal, WI",1240
"Loyalhanna, PA",1
"Loyalton, CA",695
"Loysburg, PA",1
"Loysville, PA",1
"Lu Verne, IA",252
"Luana, IA",280
"Lubbock, TX",252506
"Lubec, ME",1
"Lublin, WI",116
"Lucama, NC",1128
"Lucan, MN",181
"Lucas, IA",212
"Lucas, KS",393
"Lucas, KY",1
"Lucas, OH",592
"Lucas, SD",1
"Lucasville, OH",1
"Lucerne, CA",1
"Lucerne, IN",1
"Lucerne, MO",83
"Lucerne Valley, CA",1
"Lucernemines, PA",1
"Lucien, OK",1
"Lucile, ID",1
"Lucinda, PA",1
"Luck, WI",1073
"Luckey, OH",1045
"Ludell, KS",1
"Ludington, MI",8070
"Ludlow, CA",1
"Ludlow, IL",358
"Ludlow, KY",4524
"Ludlow, MA",1
"Ludlow, MO",132
"Ludlow, PA",1
"Ludlow, SD",1
"Ludlow, VT",781
"Ludlow Falls, OH",213
"Ludowici, GA",2162
"Luebbering, MO",1
"Lueders, TX",336
"Lugoff, SC",1
"Lukachukai, AZ",1
"Luke, MD",63
"Luke Afb, AZ",2
"Lula, GA",2882
"Luling, LA",1
"Luling, TX",5878
"Lulu, FL",1
"Lumber Bridge, NC",92
"Lumber City, GA",1264
"Lumberport, WV",859
"Lumberton, MS",2226
"Lumberton, NC",21499
"Lumberton, NJ",1
"Lumberville, PA",1
"Lummi Island, WA",1
"Lumpkin, GA",1091
"Luna Pier, MI",1377
"Lund, NV",1
"Lundys Lane, PA",1
"Lunenburg, MA",1
"Lunenburg, VA",1
"Lunenburg, VT",1
"Luning, NV",1
"Lupton, MI",1
"Luray, KS",196
"Luray, MO",94
"Luray, SC",121
"Luray, TN",1
"Luray, VA",4816
"Lurgan, PA",1
"Lusby, MD",1
"Lusk, WY",1599
"Lustre, MT",1
"Lutcher, LA",3362
"Luther, IA",122
"Luther, IL",1
"Luther, MI",316
"Luther, MT",1
"Luther, OK",1604
"Luthersburg, PA",1
"Luthersville, GA",817
"Lutherville, MD",1
"Lutsen, MN",1
"Luttrell, TN",1089
"Lutts, TN",1
"Lutz, FL",1
"Luverne, AL",2825
"Luverne, MN",4658
"Luverne, ND",31
"Luxemburg, WI",2557
"Luxora, AR",1075
"Luzerne, IA",95
"Luzerne, MI",1
"Luzerne, PA",2801
"Lycan, CO",1
"Lyerly, GA",528
"Lyford, TX",2595
"Lykens, PA",1751
"Lyle, MN",541
"Lyle, WA",1
"Lyman, NE",328
"Lyman, SC",3476
"Lyman, WA",454
"Lyman, WY",2072
"Lyme, NH",1
"Lynbrook, NY",19567
"Lynch, KY",694
"Lynch, NE",226
"Lynch Station, VA",1
"Lynchburg, IL",1
"Lynchburg, MO",1
"Lynchburg, OH",1484
"Lynchburg, SC",350
"Lynchburg, TN",1
"Lynchburg, VA",80212
"Lynd, MN",444
"Lyndeborough, NH",1
"Lynden, WA",13952
"Lyndhurst, NJ",1
"Lyndhurst Mayfie, OH",1
"Lyndon, IL",620
"Lyndon, KS",1022
"Lyndon, KY",11407
"Lyndon Center, VT",1
"Lyndon Station, WI",479
"Lyndonville, NY",797
"Lyndonville, VT",1172
"Lyndora, PA",1
"Lynn, AL",638
"Lynn, AR",276
"Lynn, IN",1052
"Lynn, KY",1
"Lynn, MA",92697
"Lynn Center, IL",1
"Lynn Garden, TN",1
"Lynn Haven, FL",20850
"Lynnfield, MA",1
"Lynnville, IA",390
"Lynnville, IN",934
"Lynnville, TN",295
"Lynnwood, WA",38092
"Lynwood, CA",71187
"Lyon, MS",319
"Lyon Mountain, NY",1
"Lyons, CO",2148
"Lyons, GA",4369
"Lyons, IL",10621
"Lyons, IN",720
"Lyons, KS",3671
"Lyons, MI",792
"Lyons, NE",814
"Lyons, NY",1
"Lyons, OH",558
"Lyons, OR",1204
"Lyons Falls, NY",561
"Lysite, WY",1
"Lytle, TX",2898
"Lytle Creek, CA",1
"Lytton, IA",299
"M M, GA",1
"Mabel, MN",762
"Maben, MS",864
"Maben, WV",1
"Mabie, WV",1
"Mableton, GA",1
"Mabton, WA",2295
"Mac Dougall, NY",1
"Mac Mahan, ME",1
"Macarthur, PA",1
"Macclenny, FL",6562
"Macdoel, CA",1
"Macedon, NY",1465
"Macedonia, IA",245
"Macedonia, IL",62
"Macedonia, OH",11899
"Maceo, KY",1
"Macfarlan, WV",1
"Machias, ME",1
"Machias, NY",1
"Machiasport, ME",1
"Machipongo, VA",1
"Mack, CO",1
"Mackay, ID",477
"Mackinac Island, MI",477
"Mackinaw, IL",1925
"Macks Creek, MO",1
"Macksburg, IA",115
"Macksburg, OH",186
"Macksville, KS",537
"Mackville, KY",227
"Macomb, IL",18352
"Macomb, MI",1
"Macomb, MO",1
"Macomb, OK",33
"Macon, GA",3
"Macon, IL",1127
"Macon, MO",5377
"Macon, MS",2614
"Macon, NC",114
"Macungie, PA",3149
"Macy, IN",206
"Macy, NE",1
"Mad River, CA",1
"Madawaska, ME",1
"Madbury, NH",1
"Madden, MS",1
"Maddox, MD",1
"Madeira, OH",9049
"Madeira Beach, FL",4412
"Madelia, MN",2239
"Madera, CA",64444
"Madera, PA",1
"Madison, AL",47959
"Madison, CA",1
"Madison, CT",1
"Madison, FL",2853
"Madison, GA",4060
"Madison, IL",3846
"Madison, IN",11985
"Madison, KS",641
"Madison, ME",1
"Madison, MN",1432
"Madison, MO",535
"Madison, MS",26031
"Madison, NC",2183
"Madison, NE",2364
"Madison, NH",1
"Madison, NJ",16072
"Madison, NY",295
"Madison, OH",3148
"Madison, PA",377
"Madison, SC",1
"Madison, SD",7425
"Madison, TN",1
"Madison, WI",252551
"Madison, WV",2865
"Madison Heights, MI",30088
"Madison Heights, VA",1
"Madison Lake, MN",1141
"Madisonburg, PA",1
"Madisonville, KY",19399
"Madisonville, LA",835
"Madisonville, OH",1
"Madisonville, TX",4636
"Madras, OR",6729
"Madrid, IA",2597
"Madrid, NE",231
"Madrid, NY",1
"Maeystown, IL",158
"Magalia, CA",1
"Magazine, AR",825
"Magee, MS",4315
"Maggie Valley, NC",1290
"Magna, UT",1
"Magness, AR",202
"Magnet, IN",1
"Magnet, NE",56
"Magnetic Springs, OH",281
"Magnolia, AL",1
"Magnolia, AR",11601
"Magnolia, DE",235
"Magnolia, IA",173
"Magnolia, IL",250
"Magnolia, KY",1
"Magnolia, MN",219
"Magnolia, MS",2330
"Magnolia, NC",946
"Magnolia, NJ",4299
"Magnolia, OH",973
"Magnolia, TX",1985
"Magnolia Springs, AL",802
"Magnolia Springs, TX",1
"Mahanoy City, PA",4006
"Mahaska, KS",79
"Mahnomen, MN",1229
"Mahomet, IL",8287
"Mahone, WV",1
"Mahopac, NY",1
"Mahto, SD",1
"Mahtowa, MN",1
"Mahwah, NJ",1
"Maida, ND",1
"Maiden, NC",3392
"Maiden Rock, WI",120
"Maidsville, WV",1
"Maine, NY",1
"Mainesburg, PA",1
"Maineville, OH",1056
"Maitland, MO",307
"Maize, KS",4438
"Makanda, IL",544
"Makawao, HI",1
"Makaweli, HI",1
"Makinen, MN",1
"Makoti, ND",148
"Malad City, ID",2072
"Malaga, NJ",1
"Malaga, WA",1
"Malakoff, TX",2316
"Malcolm, NE",403
"Malcom, IA",276
"Malden, IL",347
"Malden, MA",60840
"Malden, MO",4064
"Malden, WV",1
"Malden Bridge, NY",1
"Malibu, CA",12879
"Malin, OR",809
"Malinta, OH",261
"Maljamar, NM",1
"Mallard, IA",266
"Mallie, KY",1
"Mallory, NY",1
"Malmo, NE",118
"Malo, WA",1
"Malone, FL",2084
"Malone, NY",5686
"Malone, TX",269
"Malone, WI",1
"Maloneton, KY",1
"Maloy, IA",29
"Malta, IL",1153
"Malta, MT",1950
"Malta, OH",657
"Malvern, AL",1437
"Malvern, AR",10941
"Malvern, IA",1084
"Malvern, OH",1153
"Malverne, NY",8544
"Mamaroneck, NY",19356
"Mammoth, AZ",1519
"Mammoth, WV",1
"Mammoth Cave Nat, KY",1
"Mammoth Spring, AR",961
"Mamou, LA",3187
"Manahawkin, NJ",1
"Manakin Sabot, VA",1
"Manalapan, NJ",1
"Manasquan, NJ",5818
"Manassas, GA",88
"Manassas, VA",41483
"Manassas Park, VA",15915
"Manawa, IA",1
"Manawa, WI",1301
"Mancelona, MI",1363
"Manchaca, TX",1
"Manchester, CA",1
"Manchester, CT",1
"Manchester, GA",4061
"Manchester, IA",5053
"Manchester, KS",97
"Manchester, MA",1
"Manchester, MD",4818
"Manchester, ME",1
"Manchester, MI",2145
"Manchester, MN",55
"Manchester, MO",18146
"Manchester, NH",110506
"Manchester, NY",1649
"Manchester, OH",1978
"Manchester, OK",102
"Manchester, PA",2746
"Manchester, TN",10617
"Manchester Cente, VT",1
"Mancos, CO",1460
"Mandan, ND",21769
"Mandaree, ND",1
"Manderson, SD",1
"Manderson, WY",118
"Mandeville, LA",12424
"Manfred, ND",2
"Mangham, LA",645
"Manhattan, IL",7546
"Manhattan, KS",54983
"Manhattan, MT",1691
"Manhattan, NY",1643734
"Manhattan Beach, CA",35741
"Manhattan Beach, MN",58
"Manheim, PA",4856
"Manheim, WV",1
"Manila, KY",1
"Manila, UT",324
"Manilla, IA",764
"Manilla, IN",1
"Manito, IL",1503
"Manitou, KY",1
"Manitou Beach, MI",1
"Manitou Springs, CO",5317
"Manitowish Water, WI",1
"Manitowoc, WI",32936
"Mankato, KS",821
"Mankato, MN",41720
"Manley Hot Sprin, AK",1
"Manlius, NY",4539
"Manly, IA",1305
"Mannford, OK",3139
"Manning, AR",1
"Manning, IA",1455
"Manning, ND",1
"Manning, OR",1
"Mannington, WV",2059
"Manns Choice, PA",295
"Mannsville, NY",347
"Mannsville, OK",856
"Manokotak, AK",447
"Manor, DE",1
"Manor, GA",1
"Manor, PA",3321
"Manor, TX",8423
"Manorville, NY",1
"Manorville, PA",389
"Manquin, VA",1
"Manset, ME",1
"Mansfield, AR",1089
"Mansfield, GA",440
"Mansfield, IL",876
"Mansfield, LA",4913
"Mansfield, MA",1
"Mansfield, MO",1261
"Mansfield, OH",46678
"Mansfield, PA",3211
"Mansfield, SD",1
"Mansfield, TN",1
"Mansfield, TX",65631
"Mansfield, WA",334
"Mansfield Center, CT",1
"Manson, IA",1614
"Manson, NC",1
"Manson, WA",1
"Mansura, LA",1422
"Mantachie, MS",1132
"Mantador, ND",64
"Manteca, CA",76908
"Mantee, MS",221
"Manteno, IL",8969
"Manteo, NC",1407
"Manter, KS",160
"Manti, UT",3396
"Mantoloking, NJ",251
"Manton, CA",1
"Manton, MI",1415
"Mantorville, MN",1210
"Mantua, NJ",1
"Mantua, OH",1019
"Mantua, UT",786
"Manvel, ND",375
"Manvel, TX",8939
"Manville, IL",1
"Manville, NJ",10430
"Manville, RI",1
"Many, LA",2790
"Many Farms, AZ",1
"Manzanola, CO",416
"Mapes, ND",1
"Maple, NC",1
"Maple, TX",1
"Maple, WI",1
"Maple City, KS",1
"Maple City, MI",1
"Maple Glen, PA",1
"Maple Grove, MN",69576
"Maple Heights, OH",22478
"Maple Hill, CT",1
"Maple Hill, KS",617
"Maple Hill, NC",1
"Maple Lake, MN",2109
"Maple Park, IL",1304
"Maple Plain, MN",1807
"Maple Shade, NJ",1
"Maple Valley, WA",25698
"Maplecrest, NY",1
"Maplesville, AL",703
"Mapleton, IA",1199
"Mapleton, IL",279
"Mapleton, KS",82
"Mapleton, ME",1
"Mapleton, MN",1706
"Mapleton, OR",1
"Mapleton, UT",9512
"Mapleton Depot, PA",1
"Maplewood, ME",1
"Maplewood, MN",40150
"Maplewood, MO",7868
"Maplewood, NJ",1
"Maplewood, OH",1
"Mappsville, VA",1
"Maquoketa, IA",5979
"Maquon, IL",280
"Maramec, OK",91
"Marana, AZ",43474
"Marathon, FL",8910
"Marathon, IA",239
"Marathon, NY",878
"Marathon, TX",1
"Marathon, WI",1507
"Marble, CO",136
"Marble, NC",1
"Marble, PA",1
"Marble Canyon, AZ",1
"Marble Hill, GA",1
"Marble Rock, IA",297
"Marblehead, MA",1
"Marbleton, WY",1069
"Marbury, AL",1
"Marceline, MO",2129
"Marcell, MN",1
"Marcella, AR",1
"Marcellus, MI",1151
"Marcellus, NY",1773
"Marchand, PA",1
"Marco Island, FL",1
"Marcola, OR",1
"Marcus, IA",1065
"Marcus, SD",1
"Marcy, NY",1
"Mardela Springs, MD",351
"Mare Island, CA",1
"Marengo, IA",2491
"Marengo, IL",7445
"Marengo, IN",816
"Marengo, OH",346
"Marengo, WI",1
"Marenisco, MI",1
"Marfa, TX",1747
"Marfrance, WV",1
"Margarettsville, NC",1
"Margate, FL",57870
"Margate City, NJ",6142
"Maria Stein, OH",1
"Mariah Hill, IN",1
"Marianna, AR",3599
"Marianna, FL",9052
"Marianna, PA",475
"Marianna, WV",1
"Mariba, KY",1
"Maribel, WI",342
"Maricopa, CA",1183
"Marienville, PA",1
"Marietta, GA",60941
"Marietta, IL",107
"Marietta, MN",150
"Marietta, MS",255
"Marietta, NY",1
"Marietta, OH",13650
"Marietta, OK",2759
"Marietta, PA",2601
"Marietta, SC",1
"Marietta, TX",133
"Marilla, NY",1
"Marina, CA",21688
"Marina Del Rey, CA",1
"Marine, IL",929
"Marine Corp Base, CA",1
"Marine Corps Log, GA",1
"Marine On Saint, MN",1
"Marinette, WI",10695
"Marion, AL",3432
"Marion, AR",12362
"Marion, IA",38480
"Marion, IL",17826
"Marion, IN",28592
"Marion, KS",1838
"Marion, KY",2981
"Marion, MA",1
"Marion, MI",853
"Marion, MT",1
"Marion, NC",7849
"Marion, ND",133
"Marion, NY",1
"Marion, OH",36310
"Marion, SC",6711
"Marion, SD",779
"Marion, TX",1109
"Marion, VA",5855
"Marion, WI",1207
"Marion Center, PA",430
"Marion Heights, PA",595
"Marion Junction, AL",1
"Marion Station, MD",1
"Marionville, MO",2197
"Mariposa, CA",1
"Marissa, IL",1836
"Mark Center, OH",1
"Marked Tree, AR",2505
"Markesan, WI",1410
"Markham, IL",12565
"Markham, TX",1
"Markham, VA",1
"Markle, IN",1088
"Markleton, PA",1
"Markleville, IN",515
"Markleysburg, PA",277
"Marks, MS",1551
"Marksville, LA",5518
"Markville, MN",1
"Marland, OK",222
"Marlboro, NJ",1
"Marlboro, NY",1
"Marlborough, CT",1
"Marlborough, MA",39697
"Marlborough, NH",1
"Marlette, MI",1777
"Marlin, TX",5671
"Marlin, WA",1
"Marlow, NH",1
"Marlow, OK",4541
"Marlton, NJ",1
"Marmaduke, AR",1221
"Marmarth, ND",144
"Marmet, WV",1429
"Marmora, NJ",1
"Marne, IA",114
"Marne, MI",1
"Maroa, IL",1726
"Marquand, MO",208
"Marquette, IA",453
"Marquette, KS",611
"Marquette, NE",232
"Marquette, WI",147
"Marquez, TX",268
"Marrero, LA",1
"Marriottsville, MD",1
"Mars, PA",1645
"Mars Hill, ME",1
"Mars Hill, NC",2197
"Marseilles, IL",4924
"Marshall, AK",445
"Marshall, AR",1313
"Marshall, CA",1
"Marshall, IL",3878
"Marshall, IN",319
"Marshall, MI",7035
"Marshall, MN",13664
"Marshall, OK",302
"Marshall, TX",23561
"Marshall, VA",1
"Marshall, WI",3938
"Marshallberg, NC",1
"Marshallton, DE",1
"Marshalltown, IA",27328
"Marshallville, GA",1312
"Marshallville, OH",760
"Marshfield, IN",1
"Marshfield, MA",1
"Marshfield, MO",7245
"Marshfield, VT",261
"Marshfield, WI",18467
"Marshville, NC",2655
"Marsing, ID",1282
"Marsland, NE",1
"Marsteller, PA",1
"Marston, MO",467
"Marston, NC",1
"Marstons Mills, MA",1
"Mart, TX",1901
"Martel, OH",1
"Martell, NE",1
"Martelle, IA",252
"Martha, KY",1
"Marthaville, LA",1
"Martin, GA",371
"Martin, MI",420
"Martin, ND",77
"Martin, SC",1
"Martin, TN",10768
"Martin City, MO",1
"Martindale, TX",1237
"Martinez, GA",1
"Martins Ferry, OH",6756
"Martinsburg, MO",307
"Martinsburg, OH",232
"Martinsburg, PA",1894
"Martinsburg, WV",17687
"Martinsdale, MT",1
"Martinsville, IL",1133
"Martinsville, MO",1
"Martinsville, NJ",1
"Martinsville, OH",453
"Martinsville, VA",13445
"Martinton, IL",369
"Martville, NY",1
"Marty, SD",1
"Marvel Cave Park, MO",1
"Marvell, AR",1015
"Marvin, SD",32
"Marwood, PA",1
"Mary Alice, KY",1
"Mary Esther, FL",4289
"Marydel, DE",1
"Marydel, MD",141
"Maryland, NY",1
"Maryland Heights, MO",27137
"Maryneal, TX",1
"Marysvale, UT",403
"Marysville, CA",12249
"Marysville, IN",1
"Marysville, KS",3294
"Marysville, MI",9735
"Marysville, OH",23406
"Marysville, PA",2532
"Marysville, WA",67626
"Maryville, MO",11846
"Maryville, TN",28703
"Mascot, TN",1
"Mascot, VA",1
"Mascoutah, IL",7963
"Mashpee, MA",1
"Maskell, NE",73
"Mason, IL",342
"Mason, MI",8395
"Mason, NH",1
"Mason, OH",33037
"Mason, TN",1578
"Mason, TX",2180
"Mason, WV",933
"Mason City, IA",27430
"Mason City, NE",170
"Mason Neck, VA",1
"Masonville, IA",124
"Masonville, NY",1
"Maspeth, NY",1
"Mass City, MI",1
"Massapequa Park, NY",17202
"Massena, IA",345
"Massena, NY",10468
"Massey, MD",1
"Massillon, OH",32258
"Mastic, NY",1
"Mastic Beach, NY",14760
"Masury, OH",1
"Matador, TX",589
"Matagorda, TX",1
"Matamoras, PA",2364
"Matawan, NJ",8848
"Matfield Green, KS",45
"Matheny, WV",1
"Mather, PA",1
"Mather, WI",1
"Mather Afb, CA",1
"Matherville, IL",673
"Matherville, MS",1
"Matheson, CO",1
"Mathews, AL",1
"Mathews, LA",1
"Mathews, VA",1
"Mathias, WV",1
"Mathis, TX",4935
"Mathiston, MS",666
"Matlock, WA",1
"Mattapan, MA",1
"Mattapoisett, MA",1
"Mattawa, WA",4413
"Mattawamkeag, ME",1
"Mattawan, MI",1944
"Matteson, IL",19097
"Matthews, GA",1
"Matthews, MO",616
"Mattituck, NY",1
"Mattoon, IL",18028
"Mattydale, NY",1
"Mauckport, IN",81
"Maud, KY",1
"Maud, OK",1075
"Maud, TX",1069
